,Year,Entrant,Song,Language,Final,Points,Semi,Points SF
0,1957,Birthe Wilke and Gustav Winckler,"""Skibet skal sejle i nat""",Danish,3,10,No semi-finals,No semi-finals
1,1958,Raquel Rastenni,"""Jeg rev et blad ud af min dagbog""",Danish,8,3,No semi-finals,No semi-finals
2,1959,Birthe Wilke,"""Uh, jeg ville ønske jeg var dig""",Danish,5,12,No semi-finals,No semi-finals
3,1960,Katy Bødtger,"""Det var en yndig tid""",Danish,10,4,No semi-finals,No semi-finals
4,1961,Dario Campeotto,"""Angelique""",Danish,5,12,No semi-finals,No semi-finals
5,1962,Ellen Winther,"""Vuggevise""",Danish,10,2,No semi-finals,No semi-finals
6,1963,Grethe and Jørgen Ingmann,"""Dansevise""",Danish,1,42,No semi-finals,No semi-finals
7,1964,Bjørn Tidmand,"""Sangen om dig""",Danish,9,4,No semi-finals,No semi-finals
8,1965,Birgit Brüel,"""For din skyld""",Danish,7,10,No semi-finals,No semi-finals
9,1966,Ulla Pia,"""Stop – mens legen er go'""",Danish,14,4,No semi-finals,No semi-finals
10,1978,Mabel,"""Boom Boom""",Danish,16,13,No semi-finals,No semi-finals
11,1979,Tommy Seebach,"""Disco Tango""",Danish,6,76,No semi-finals,No semi-finals
12,1980,Bamses Venner,"""Tænker altid på dig""",Danish,14,25,No semi-finals,No semi-finals
13,1981,Tommy Seebach and Debbie Cameron,"""Krøller eller ej""",Danish,11,41,No semi-finals,No semi-finals
14,1982,Brixx,"""Video-Video""",Danish,17,5,No semi-finals,No semi-finals
15,1983,Gry Johansen,"""Kloden drejer""",Danish,17,16,No semi-finals,No semi-finals
16,1984,Hot Eyes,"""Det' lige det""",Danish,4,101,No semi-finals,No semi-finals
17,1985,Hot Eyes,"""Sku' du spørg' fra no'en""",Danish,11,41,No semi-finals,No semi-finals
18,1986,Lise Haavik,"""Du er fuld af løgn""",Danish,6,77,No semi-finals,No semi-finals
19,1987,Bandjo with Anne-Cathrine Herdorf,"""En lille melodi""",Danish,5,83,No semi-finals,No semi-finals
20,1988,Hot Eyes,"""Ka' du se hva' jeg sa'""",Danish,3,92,No semi-finals,No semi-finals
21,1989,Birthe Kjær,"""Vi maler byen rød""",Danish,3,111,No semi-finals,No semi-finals
22,1990,Lonnie Devantier,"""Hallo Hallo""",Danish,8,64,No semi-finals,No semi-finals
23,1991,Anders Frandsen,"""Lige der hvor hjertet slår""",Danish,19,8,No semi-finals,No semi-finals
24,1992,Lotte Nillson and Kenny Lübcke,"""Alt det som ingen ser""",Danish,12,47,No semi-finals,No semi-finals
25,1993,Seebach Band,"""Under stjernerne på himlen""",Danish,22,9,Kvalifikacija za Millstreet,Kvalifikacija za Millstreet
26,1995,Aud Wilken,"""Fra Mols til Skagen""",Danish,5,92,No semi-finals,No semi-finals
27,1996,Dorthe Andersen and Martin Loft,"""Kun med dig""",Danish,Failed to qualify[a] X,Failed to qualify[a] X,25,22
28,1997,Kølig Kaj,"""Stemmen i mit liv""",Danish,16,25,No semi-finals,No semi-finals
29,1999,Trine Jepsen and Michael Teschl,"""This Time I Mean It""",English,8,71,No semi-finals,No semi-finals
30,2000,Olsen Brothers,"""Fly on the Wings of Love""",English,1,195,No semi-finals,No semi-finals
31,2001,Rollo and King,"""Never Ever Let You Go""",English,2,177,No semi-finals,No semi-finals
32,2002,Malene,"""Tell Me Who You Are""",English,24 ◁,7,No semi-finals,No semi-finals
33,2004,Tomas Thordarson,"""Shame on You""",English,Failed to qualify,Failed to qualify,13,56
34,2005,Jakob Sveistrup,"""Talking to You""",English,9,125,3,185
35,2006,Sidsel Ben Semmane,"""Twist of Love""",English,18,26,Top 11 in 2005 final[b],Top 11 in 2005 final[b]
36,2007,DQ,"""Drama Queen""",English,Failed to qualify,Failed to qualify,19,45
37,2008,Simon Mathew,"""All Night Long""",English,15,60,3,112
38,2009,Brinck,"""Believe Again""",English,13,74,8,69
39,2010,Chanée and N'evergreen,"""In a Moment like This""",English,4,149,5,101
40,2011,A Friend in London,"""New Tomorrow""",English,5,134,2,135
41,2012,Soluna Samay,"""Should've Known Better""",English,23,21,9,63
42,2013,Emmelie de Forest,"""Only Teardrops""",English,1,281,1,167
43,2014,Basim,"""Cliche Love Song""",English,9,74,Host country,Host country
44,2015,Anti Social Media,"""The Way You Are""",English,Failed to qualify,Failed to qualify,13,33
45,2016,Lighthouse X,"""Soldiers of Love""",English,Failed to qualify,Failed to qualify,17,34
46,2017,Anja,"""Where I Am""",English,20,77,10,101
47,2018,Rasmussen,"""Higher Ground""",English,9,226,5,204
48,2019,Leonora,"""Love Is Forever""",English[c],12,120,10,94
49,2020,Ben and Tan,"""Yes""",English,Contest cancelled[d] X,Contest cancelled[d] X,Contest cancelled[d] X,Contest cancelled[d] X
50,2021,Fyr og Flamme,"""Øve os på hinanden""",Danish,Failed to qualify,Failed to qualify,11,89
51,2022,Reddi,"""The Show""",English,Failed to qualify,Failed to qualify,13,55
52,2023,Reiley,"""Breaking My Heart""",English,Failed to qualify,Failed to qualify,14,6
