,Year,Artist,Song,Language,Final,Points,Semi,Points SF
0,1986,ICY,"""Gleðibankinn""",Icelandic,16,19,No semi-finals,No semi-finals
1,1987,Halla Margrét,"""Hægt og hljótt""",Icelandic,16,28,No semi-finals,No semi-finals
2,1988,Beathoven,"""Sókrates""",Icelandic,16,20,No semi-finals,No semi-finals
3,1989,Daníel,"""Það sem enginn sér""",Icelandic,22 ◁,0,No semi-finals,No semi-finals
4,1990,Stjórnin,"""Eitt lag enn""",Icelandic,4,124,No semi-finals,No semi-finals
5,1991,Stefán and Eyfi,"""Nína""",Icelandic,15,26,No semi-finals,No semi-finals
6,1992,Heart 2 Heart,"""Nei eða já""",Icelandic,7,80,No semi-finals,No semi-finals
7,1993,Inga,"""Þá veistu svarið""",Icelandic,13,42,Kvalifikacija za Millstreet,Kvalifikacija za Millstreet
8,1994,Sigga,"""Nætur""",Icelandic,12,49,No semi-finals,No semi-finals
9,1995,Bo Halldórsson,"""Núna""",Icelandic,15,31,No semi-finals,No semi-finals
10,1996,Anna Mjöll,"""Sjúbídú""",Icelandic,13,51,10,59
11,1997,Paul Oscar,"""Minn hinsti dans""",Icelandic,20,18,No semi-finals,No semi-finals
12,1999,Selma,"""All Out of Luck""",English,2,146,No semi-finals,No semi-finals
13,2000,August and Telma,"""Tell Me!""",English,12,45,No semi-finals,No semi-finals
14,2001,Two Tricky,"""Angel""",English,22 ◁,3,No semi-finals,No semi-finals
15,2003,Birgitta,"""Open Your Heart""",English,8,81,No semi-finals,No semi-finals
16,2004,Jónsi,"""Heaven""",English,19,16,Top 11 in 2003 contest[a],Top 11 in 2003 contest[a]
17,2005,Selma,"""If I Had Your Love""",English,Failed to qualify,Failed to qualify,16,52
18,2006,Silvía Night,"""Congratulations""",English,Failed to qualify,Failed to qualify,13,62
19,2007,Eiríkur Hauksson,"""Valentine Lost""",English,Failed to qualify,Failed to qualify,13,77
20,2008,Euroband,"""This Is My Life""",English,14,64,8,68
21,2009,Yohanna,"""Is It True?""",English,2,218,1,174
22,2010,Hera Björk,"""Je ne sais quoi""","English, French",19,41,3,123
23,2011,Sjonni's Friends,"""Coming Home""",English,20,61,4,100
24,2012,Greta Salóme and Jónsi,"""Never Forget""",English,20,46,8,75
25,2013,Eythor Ingi,"""Ég á líf""",Icelandic,17,47,6,72
26,2014,Pollapönk,"""No Prejudice""",English,15,58,8,61
27,2015,Maria Olafs,"""Unbroken""",English,Failed to qualify,Failed to qualify,15,14
28,2016,Greta Salóme,"""Hear Them Calling""",English,Failed to qualify,Failed to qualify,14,51
29,2017,Svala,"""Paper""",English,Failed to qualify,Failed to qualify,15,60
30,2018,Ari Ólafsson,"""Our Choice""",English,Failed to qualify,Failed to qualify,19 ◁,15
31,2019,Hatari,"""Hatrið mun sigra""",Icelandic,10,232,3,221
32,2020,Daði og Gagnamagnið,"""Think About Things""",English,Contest cancelled[b] X,Contest cancelled[b] X,Contest cancelled[b] X,Contest cancelled[b] X
33,2021,Daði og Gagnamagnið,"""10 Years""",English,4,378,2,288
34,2022,Systur,"""Með hækkandi sól""",Icelandic,23,20,10,103
35,2023,Diljá,"""Power""",English,Failed to qualify,Failed to qualify,11,44
